index,middle,ring,pinky
700,353,747,383
701,353,747,383
701,353,746,382
700,353,746,382
701,353,746,382
701,353,746,382
701,353,746,382
701,353,746,382
700,354,746,383
701,354,746,382
701,353,746,382
701,353,746,382
700,354,746,382
700,353,747,381
701,353,745,382
701,354,745,383
701,354,745,382
701,354,745,383
700,353,746,381
700,353,746,381
700,353,746,382
700,353,745,381
701,352,750,379
702,355,741,386
700,351,750,379
699,352,749,379
701,355,743,384
701,355,742,385
700,350,750,379
699,355,746,383
701,355,744,382
701,351,748,380
703,356,738,387
702,351,746,382
699,351,750,378
700,353,748,379
699,353,746,383
698,352,750,379
702,356,741,387
703,354,741,386
700,351,749,379
700,352,750,379
700,355,744,383
699,355,744,384
700,352,748,380
700,352,748,380
700,355,745,383
700,354,745,383
702,354,744,384
699,352,749,379
701,355,742,385
702,353,744,383
700,353,747,382
700,353,746,382
700,353,746,382
701,353,746,382
701,354,745,382
701,355,745,382
700,353,746,382
701,353,746,382
701,354,747,382
700,353,746,381
700,353,746,382
701,353,746,382
701,352,746,381
701,353,746,382
701,353,746,381
700,354,746,382
701,353,746,382
701,353,746,382
700,353,745,382
701,353,746,382
700,354,745,382
701,353,746,382
700,353,745,381
700,353,746,381
700,354,746,381
700,353,747,382
700,354,745,382
700,354,746,380
700,354,746,382
700,354,746,382
700,353,747,382
700,353,745,382
700,353,746,381
700,354,746,382
700,354,746,381
700,353,745,382
700,354,746,383
700,354,746,382
700,354,746,382
700,353,746,381
700,353,746,383
700,354,745,382
700,354,746,382
700,354,746,382
700,354,746,383
700,354,746,382
701,353,746,382
701,354,745,382
700,353,746,382
699,354,746,382
700,354,745,382
700,354,746,382
700,354,746,381
699,354,745,382
700,354,746,382
700,354,745,382
700,354,744,383
700,354,746,382
699,353,746,381
699,355,746,381
699,354,746,382
700,354,745,382
700,354,744,383
700,354,745,382
698,352,751,378
698,352,750,378
702,355,742,386
702,356,740,387
697,354,748,380
697,354,747,381
700,352,749,379
698,352,749,379
